frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
0,1,11192213,1554658,9040281,0,101480,1088315,0,1223661,3256544,3457579,917954,183250,0,59,5101624,4892148,132139
1,16,3231187,912293,2167761,0,96409,810888,0,169631,1441224,345510,116953,93256,0,26,2249851,2155090,58216
2,8,3260324,657982,2112547,0,95988,557006,0,238742,1406465,257192,26040,182940,0,28,2429138,2328305,62732
3,5,1940765,491849,1202173,0,5808,481152,0,146679,865489,161189,24805,2893,0,13,1134503,1086951,29130
4,4,1279806,298219,829345,0,5745,287528,0,53100,677821,69342,25309,2801,0,6,520698,499043,13427
5,5,1417194,195103,1060475,0,5816,184456,0,147261,809437,75176,24688,2810,0,7,608142,582191,15706
6,4,1129328,102979,601115,0,5873,92351,0,52710,451878,67709,25020,2801,0,5,429380,410833,11216
7,3,1037854,285459,687101,0,7099,183068,0,146409,353540,158284,24967,2823,0,4,346768,331924,9007
8,4,1390559,102806,1134830,0,5732,92235,0,52560,797033,66814,124861,92441,0,7,606765,580969,15706
9,4,1004594,102959,837606,0,5793,92441,0,51256,628217,128067,26068,2983,0,1,88641,84788,2258
10,4,1052503,196491,794364,0,5721,185527,0,52850,400545,311113,26037,2780,0,2,173157,166045,4491
11,4,900595,113679,720731,0,5704,103022,0,51748,398216,128230,26021,115262,0,0,0,0,0
12,3,903660,114189,724781,0,5490,103748,0,52728,403044,130759,134919,2230,0,0,0,0,0
13,3,903456,113044,600100,0,5472,102602,0,51597,390781,128670,26060,1910,0,0,0,0,0
14,3,915732,113052,738158,0,5438,102659,0,52848,398279,131258,152430,2246,0,0,0,0,0
15,3,908994,113121,728527,0,5524,102626,0,51588,406703,128706,138049,2340,0,0,0,0,0
16,3,966165,113059,791646,0,5523,102586,0,52900,416968,288532,30041,2063,0,0,0,0,0
17,3,896687,112998,718665,0,5546,102484,0,51463,402869,128267,132201,2686,0,0,0,0,0
18,3,937791,114372,758868,0,5438,103972,0,52820,426656,247278,28961,2074,0,0,0,0,0
19,3,894755,113041,604377,0,5428,102722,0,51499,396454,127322,26089,1934,0,0,0,0,0
20,3,920532,114031,743285,0,5449,103618,0,52585,408833,130957,147632,2180,0,0,0,0,0
21,3,892103,113132,711488,0,5493,102720,0,51610,396999,127608,131642,2468,0,0,0,0,0
22,2,899265,112527,724619,0,5438,102107,0,52686,411505,130349,126717,2263,0,0,0,0,0
23,2,919747,112643,739027,0,5386,102341,0,51514,401837,127996,26049,130378,0,0,0,0,0
24,3,906866,114382,728019,0,5523,103099,0,52948,412845,130817,128202,2126,0,0,0,0,0
25,3,892926,113166,715321,0,5795,102325,0,51482,400363,127736,26088,108401,0,0,0,0,0
26,3,908404,113230,732015,0,5741,102475,0,52786,410019,130752,134348,3053,0,0,0,0,0
27,2,918413,113204,739711,0,5784,102339,0,51401,407454,127560,148867,3334,0,0,0,0,0
28,3,908727,112968,731746,0,5784,102242,0,52693,416236,130863,127809,3130,0,0,0,0,0
29,3,909165,113174,730791,0,5679,102597,0,51619,415019,128577,131247,3253,0,0,0,0,0
30,2,916713,113015,738996,0,5826,102194,0,52886,413265,131936,136820,3075,0,0,0,0,0
31,3,939597,113071,762493,0,5816,102182,0,51524,402204,128031,26022,153484,0,0,0,0,0
32,3,929459,113350,745480,0,5708,102551,0,52619,417687,241586,29462,3087,0,0,0,0,0
33,3,891969,113200,713298,0,5796,102347,0,51461,408363,127721,121349,3306,0,0,0,0,0
