frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
0,1,12195541,1659011,9671845,330276,183701,1199278,3928,1506130,2836806,3829615,982175,182924,332836,69,5899309,5682986,142476
1,16,5057862,1604645,2848195,155684,96652,1399854,3774,241304,1509734,437667,318282,182375,157797,46,3921666,3780258,94301
2,8,3808456,923917,2547759,173767,6023,731897,91646,299324,1256990,426701,116862,270961,175855,32,2734619,2633749,65605
3,5,2932781,806181,1783377,59714,5940,791742,3114,51717,1289877,259606,116812,3493,60767,22,1887180,1817008,45101
4,4,3144350,667431,1936399,61747,95060,372019,195018,145357,1177837,161702,294307,93341,63855,24,2049435,1975081,49205
5,5,2630018,477869,1992835,148601,96434,371740,3575,322400,693366,528002,114591,182734,150701,20,1714105,1650029,40999
6,4,2933630,473751,2297012,155020,96668,279646,92130,281089,1056453,682495,24911,93887,157108,22,1896259,1828340,45103
7,3,1686428,109411,1509976,151592,6203,94704,2254,50722,839743,341362,25390,99101,153658,10,864862,832640,20502
8,4,2308859,108526,1859021,156356,5983,94416,3004,153470,982141,444301,25921,94290,157864,16,1381028,1330507,32800
9,4,2359790,566492,1718144,72112,6106,552279,2963,158349,942991,419334,119099,4186,74185,15,1298228,1251941,30749
10,4,2404783,290855,1860477,70151,5743,275990,3802,146310,1381971,139921,24410,95654,72211,16,1386952,1333062,32801
11,4,2763818,588546,2012048,157107,5858,574353,3057,62257,1221546,446101,120643,3215,158286,19,1634238,1575450,38951
12,3,2092667,473412,1549759,60743,5531,368310,94213,145249,876988,435373,26980,2347,62822,11,945001,909737,22550
13,3,1742478,107818,1385621,62088,5545,93954,3189,50729,800059,351966,24680,93986,64201,8,682925,658232,16400
14,3,1335747,107742,1069960,61150,5596,93751,3146,146028,693085,141302,24298,3047,62200,4,347417,335103,8199
15,3,2305429,291856,1936927,88296,6763,186396,3016,145701,1252380,329091,24907,93983,89804,14,1204792,1159412,28700
16,3,2456207,475442,1796604,151727,5693,461677,2881,297431,811458,235321,206211,92363,153820,15,1285712,1238248,30756
17,3,2805579,318112,2239956,62175,5679,303736,2130,239660,1484854,332679,24677,94054,64032,19,1627087,1567075,38956
18,3,2608629,834852,1607678,152939,6903,729429,3239,144897,1020524,165098,27734,93946,155479,18,1543187,1486324,36900
19,3,1562434,433971,1061974,60320,5625,328955,94052,51727,675007,150602,118605,2520,63513,7,601976,577966,14354
20,3,1557074,290622,1193935,168031,5572,277121,2939,50686,618938,325889,24904,3074,169085,6,515841,497072,12299
21,3,1312551,289476,953481,62289,5806,275343,3318,51054,669686,140052,25862,2216,63572,5,431083,414375,10249
22,2,1166339,107633,809685,60535,5466,94219,2758,50819,526685,142026,24512,2029,62590,2,169664,163444,4099
23,2,1088037,118408,902010,61675,5605,103997,2955,51178,403764,354258,25561,2074,63774,1,87325,84213,2050
24,3,1172132,203785,899052,61100,5489,188399,3425,50744,404886,260705,118045,2538,62134,2,171622,165381,4101
25,3,1330742,200519,885166,61701,96445,94702,3476,50901,507175,141531,25902,94810,63789,4,339439,327115,8200
26,3,1365836,108431,995475,61202,5964,93714,3733,145881,523555,234958,24847,3992,62242,5,429892,414491,10250
27,2,1361202,206722,1084787,61719,6045,192533,3049,51197,610472,330085,24832,4143,62971,4,348053,335655,8200
28,3,1377784,131782,1179506,60787,5928,117722,2820,61804,592841,249392,209733,3895,61841,4,349026,335642,8200
29,3,1285573,201941,1012034,61518,6031,186653,3494,146632,540617,139952,25054,94049,63611,4,346689,333216,8199
30,2,1086910,118104,898525,60323,8274,101791,3095,152914,404537,249356,25370,2857,62402,1,87941,84844,2051
31,3,1424121,106765,1251401,62533,6075,92542,2982,50409,717009,139702,24910,253663,64632,5,438851,422336,11292
32,3,1006457,108622,727768,61160,5844,94240,3480,50769,434845,150124,25456,3046,62196,1,88960,84786,2056
33,3,1283681,208093,1006129,62005,6045,193985,2779,51440,626434,234609,25155,2965,63364,3,258750,249437,6150
34,3,1354541,208017,1076357,155582,5949,100659,2297,52598,697912,138817,24324,4010,157653,5,438014,420218,10249
35,3,1189873,118697,1003560,62649,5970,104062,3179,60185,709033,141384,25964,3309,63685,2,171863,165698,4100
36,3,1832356,290877,1372473,60757,5889,275859,3100,146121,805516,237592,117699,3755,61790,9,769538,741812,18450
37,2,1287906,115861,1098788,61456,6023,100652,3602,51080,813556,141380,24985,2848,63531,4,345988,333668,8201
38,3,1209184,377162,765105,70249,5802,362614,2987,51024,433639,179069,24943,4053,71285,2,176531,169258,4100
39,3,1040147,108590,861017,153230,6056,94185,2658,50600,463868,161963,26018,3113,154256,1,84818,81720,2050
40,3,1190060,117753,1004760,60419,5738,103972,2412,59571,712249,142015,24425,2921,62494,2,175472,169320,4100
41,3,1300071,294707,930019,62415,6203,280368,3325,51096,645485,140648,25098,2997,63663,4,346870,333406,8199
42,3,1392711,109728,1034482,60755,6017,94544,3291,147064,465274,150414,114921,92883,62848,4,342913,330520,8200
43,3,1505541,117024,1229743,61942,5918,102526,3075,51576,849155,236149,24822,3972,62982,5,430396,414853,10250
44,3,1275548,107872,1001344,61718,5718,93783,3426,50687,627439,140521,25077,94343,63277,4,348403,334885,8199
45,3,9409777,6715406,2506154,62421,5806,102346,3031,51922,1081021,1280510,25301,3939,63461,12,1034204,994445,24599
46,13,2372379,950343,1260985,64478,5772,936098,3176,141038,530307,293557,224683,3327,66577,14,1200196,1156761,28700
47,3,2541012,578246,1706547,151143,95605,385524,91502,140854,1152849,222192,34493,3709,152450,18,1545139,1487332,36900
48,5,1587364,494321,846664,60792,5854,479069,3232,47592,600588,106766,25144,3696,62878,7,606108,583330,14351
49,3,1929161,573667,1196590,60529,5970,558811,3444,158559,838858,107377,26016,3130,61565,11,939441,905399,22551
50,3,1323902,437973,817734,62571,5898,422781,3030,49950,536969,129448,27856,8449,63977,5,434993,417475,11273
51,2,1200624,301790,728155,59039,5941,196538,3404,48766,386919,107293,118171,3780,61098,4,345975,333567,8200
52,2,1702932,115625,1521018,59705,6027,101037,3656,226605,453715,747980,26777,2780,62897,4,345328,332962,8201
53,3,1896029,209653,1316426,61026,5882,195108,3091,56404,643165,116552,340532,96628,63145,9,774501,744554,18450
54,4,1785491,427866,1195978,60817,5769,413482,2932,48320,940267,116155,25261,3099,61843,9,779561,751756,18449
55,2,1940670,211857,1662373,155279,6035,197970,2686,410341,756333,308996,25426,2794,157378,11,952010,915673,22550
